image,base_caption,lora_caption,given_caption
1022454332_6af2c1449a.jpg,a boy and a girl are flying a kite near a lake,A boy and a girl are standing by a lake .,A child and a woman are at waters edge in a big city .
103106960_e8a41d64f8.jpg,a boy kneeling down,A boy playing hockey .,A boy with a stick kneeling in front of a goalie net
1032122270_ea6f0beedb.jpg,a woman and three dogs in a field,A woman and three dogs are standing in a field .,A woman crouches near three dogs in a field .
1034276567_49bb87c51c.jpg,the boy is eating,A boy in a red and black jacket eats a piece of pizza .,A boy bites hard into a treat while he sits outside .
1045521051_108ebc19be.jpg,a person sitting on the ground with a tv in front of them,A man is sitting in front of a television with a plate of food in front of him .,A person eats takeout while watching a small television .
1056249424_ef2a2e041c.jpg,a couple of kids playing in a puddle of water,A boy and a girl play in a puddle of water .,The children are playing in the water .
1056338697_4f7d7ce270.jpg,a woman holding a frisbee,A blonde woman in a blue tank top is pointing at a car .,A blond woman in a blue shirt appears to wait for a ride .
106490881_5a2dd9b7bd.jpg,a young boy on the beach with a frisbee in his hand,A boy in a blue and white swimsuit stands on the beach .,A boy in his blue swim shorts at the beach .
107582366_d86f2d3347.jpg,a group of people sitting around a table at night,A group of people are sitting around a table in the dark .,A group of eight people are gathered around a table at night .
1077546505_a4f6c4daa9.jpg,a young boy playing in an inflatable pool,A boy is playing in an inflatable pool .,A boy in blue shorts slides down a slide into a pool .
1077931201_1e0bb83105.jpg,a man and a child jumping into the water,A boy in a blue wetsuit jumps into the air .,A man in a wetsuit is throwing a baby wearing a wetsuit up into the air .
1082379191_ec1e53f996.jpg,a man and a woman sitting on a bench,A man and a woman are sitting on a wooden bench .,A lady and a man with no shirt sit on a dock .
1084040636_97d9633581.jpg,a white dog laying on a tile floor,A white dog is laying on a tiled floor .,A closeup of a white dog that is laying its head on its paws .
1087539207_9f77ab3aaf.jpg,a group of people riding on a four wheeled vehicle,A group of people on a four wheeler .,A family playing on a tractor on a beautiful day
1088767354_2acee738cf.jpg,a group of people standing on a sidewalk,A group of people are standing on a sidewalk .,A woman in a red costume to the left of a man and woman standing together .
1089755335_0bfbfd30e6.jpg,people fishing on the pier at night,A group of people are standing on a pier at night .,A mother and children is fishing on a boardwalk at night .
1096395242_fc69f0ae5a.jpg,a young boy holding a lollipop,A boy in an orange shirt and orange shorts is holding a green lollipop .,A boy with a toy gun .
1100214449_d10861e633.jpg,a boy jumping over a fountain,A boy in a striped shirt jumps into a fountain .,A boy in s striped shirt is jumping in front of a water fountain .
1107246521_d16a476380.jpg,the dog is black,A black dog is jumping to catch a toy in the grass .,a black dog jumping to catch a rope toy
111497985_38e9f88856.jpg,a woman on top of a mountain holding a ski pole,A girl in a striped shirt is climbing a rock face .,A kid rock climbing against the backdrop of a green valley
1119015538_e8e796281e.jpg,a dog running in the grass,A brown and white dog is running in the grass .,A little tan dog with large ears running through the grass .
1122944218_8eb3607403.jpg,a small child holding a flag in his hand,A baby in a white shirt is holding a flag .,A baby in a white garment holds a flag with crescent moon and star .
1130369873_d80a1aa59c.jpg,a dog in the water with a tennis ball in its mouth,A brown dog with a tennis ball in his mouth .,A brown dog is running through neck-deep water carrying a tennis ball .
1131155939_b4b457b05e.jpg,a dog running on the beach next to a body of water,A black dog is running on the beach .,A black dog runs into the ocean next to a pile of seaweed .
1131800850_89c7ffd477.jpg,the dog is wet,A brown and white dog is standing in the water .,A brown and white dog stands outside while it snows .
1131932671_c8d17751b3.jpg,a boy jumping on a bed,A boy in a blue shirt jumps on a bed .,A boy is jumping on a bed .
113678030_87a6a6e42e.jpg,snowboarder sitting on the snow,A group of snowboarders are sitting on a snow covered hill .,A snowboarder sits on a slope with skiers and boarders nearby .
1138784872_69ade3f2ab.jpg,a little girl in a green dress walking down the sidewalk,A little girl in a green dress is walking down the street .,A girl in green walks down a city street .
114051287_dd85625a04.jpg,a boy in a car,A boy in a red shirt is sitting in the passenger seat of a car .,A boy dressed in soccer attire and holding his shoes getting out of a car .
1155138244_859fd6e079.jpg,a woman wearing a green apron,A woman in a green hat and a green apron holds a tray of drinks .,A girl hands out Starbucks samples at a street fair .
115684808_cb01227802.jpg,a group of people working on a snowboard,A group of people are standing in the snow .,Three men are setting up a sledge on a snowy plain .
1164131282_b30926f332.jpg,two dogs playing in the grass,A black and white dog and a black and white dog are playing in a field .,A grey dog beside a black and white dog running in green grass .
1167669558_87a8a467d6.jpg,a man wearing a yellow shirt,A man in a yellow shirt is smiling .,A man in yellow grimaces .
1174525839_7c1e6cfa86.jpg,a woman jumping into the air at the beach,A girl in a blue shirt is jumping in the air on the beach .,A girl in blue is jumping on the shore as small waves approach her .
1174629344_a2e1a2bdbf.jpg,people walking on the street,A group of people are walking down a city street .,A crowd of people walk down a busy sidewalk .
1177994172_10d143cb8d.jpg,two young boys playing with a water hose,A boy in a black shirt and a boy in a blue shirt are playing with water .,"Two blonde boys , one in a camouflage shirt and the other in blue , are having a water fight ."
1178705300_c224d9a4f1.jpg,a dog jumping into a pool,A brown dog is jumping into a pool .,a brown dog jumping into a pool after a bloe ball .
